Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2008","2008","1000 ha","967","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2008","2008","1000 ha","8232","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2009","2009","1000 ha","4670","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2009","2009","1000 ha","994","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2009","2009","1000 ha","8244","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2010","2010","1000 ha","4687","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2010","2010","1000 ha","1009","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2010","2010","1000 ha","8212","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2011","2011","1000 ha","4662","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2011","2011","1000 ha","1054","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2011","2011","1000 ha","8199","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2012","2012","1000 ha","4665","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2012","2012","1000 ha","1066","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2012","2012","1000 ha","8190","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2013","2013","1000 ha","4662","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2013","2013","1000 ha","1071","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2013","2013","1000 ha","8188","A","Official figure",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2014","2014","1000 ha","4661","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2014","2014","1000 ha","1071","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2014","2014","1000 ha","8187","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2015","2015","1000 ha","4665","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2015","2015","1000 ha","1066","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","8186","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6621","Arable land","2016","2016","1000 ha","4664.6","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6650","Permanent crops","2016","2016","1000 ha","1066","I","Imputed value",""
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","8185.526","A","Official figure",""
